date,inventory_kb,imports_kbd,exports_kbd,runs_kbd,inventory_mb,inventory_change_mb,imports_mb_w,exports_mb_w,runs_mb_w,imports_change_mb_w,exports_change_mb_w,runs_change_mb_w,imports_change_z,exports_change_z,runs_change_z,dominant_driver,driver_confidence,most_abnormal_flow
2016-02-26,486699,8292,387,15852,486.699,10.374000000000024,58.044,2.709,110.964,3.4299999999999997,-0.08400000000000007,1.168999999999997,0.8726748701498774,-0.3310210668555432,0.6436595855380521,Import-led,High,Imports
2016-03-04,490843,8048,387,15911,490.843,4.1440000000000055,56.336,2.709,111.377,-1.7079999999999984,0.0,0.4129999999999967,-0.5003046902951543,0.05651579190216586,0.20003512013786215,Import-led,High,Imports
2016-03-11,492160,7693,387,15996,492.16,1.3170000000000073,53.851,2.709,111.972,-2.4849999999999994,0.0,0.5949999999999989,-0.6773278037646886,0.05651579190216586,0.3148199508813021,Import-led,High,Imports
2016-03-18,501517,8384,387,15820,501.517,9.356999999999971,58.688,2.709,110.74,4.837000000000003,0.0,-1.2319999999999993,1.2490477389058292,0.07258181628894536,-0.7665046938276137,Import-led,High,Imports
2016-03-25,503816,7748,387,16234,503.816,2.298999999999978,54.236,2.709,113.638,-4.452000000000005,0.0,2.8980000000000103,-1.1799602890363223,0.07258181628894536,1.6693969083251292,Import-led,High,Runs
2016-04-01,498598,7254,339,16433,498.598,-5.217999999999961,50.778,2.373,115.031,-3.4579999999999984,-0.33599999999999985,1.3930000000000007,-0.8871141467959761,-1.4291197143397694,0.7818302110240903,Import-led,High,Exports
2016-04-08,505232,7940,339,15941,505.232,6.6340000000000146,55.58,2.373,111.587,4.802,0.0,-3.4440000000000026,1.2809375588536558,0.10050413085408327,-1.956995597524579,Import-led,High,Runs
2016-04-15,507312,8187,339,16104,507.312,2.079999999999984,57.309,2.373,112.728,1.7289999999999992,0.0,1.1409999999999911,0.4613464085410265,0.10050413085408327,0.6484584305241992,Import-led,High,Runs
2016-04-22,509311,7550,390,15847,509.311,1.9989999999999668,52.85,2.73,110.929,-4.458999999999996,0.35699999999999976,-1.7989999999999924,-1.2204358728113327,1.6446760975963868,-1.009489641825735,Import-led,High,Exports
2016-04-29,512095,7660,390,15986,512.095,2.7840000000000487,53.62,2.73,111.902,0.769999999999996,0.0,0.972999999999999,0.17424718388083604,0.04640529846644261,0.588305569014492,Mixed / Minor,Low,Runs
2016-05-06,508487,7655,390,16179,508.487,-3.608000000000004,53.585,2.73,113.253,-0.03499999999999659,0.0,1.350999999999999,-0.039313511540813494,0.04640529846644261,0.7746784706951039,Run-led,High,Runs
2016-05-13,509797,7677,390,16371,509.797,1.3100000000000023,53.739,2.73,114.597,0.15399999999999636,0.0,1.343999999999994,0.025413090270421285,0.04640529846644261,0.7776831680217375,Run-led,High,Runs
